n,threads,run,time_ms
1600,4,71,1036994.0
1600,4,75,951549.0
1600,4,79,966858.0
1600,4,83,1265777.0
1600,4,87,1702836.0
1600,4,91,974931.0
1600,4,95,1289032.0
1600,4,99,1170326.0
1600,4,103,1075801.0
1600,4,107,1087106.0
1600,4,111,990382.0
1600,4,115,1193810.0
1600,4,119,988088.0
5600,2,3,359095811.0
5600,2,7,356540853.0
5600,2,11,360131787.0
5600,2,15,356888890.0
5600,2,19,354112722.0
5600,2,23,356779475.0
5600,2,27,357567286.0
5600,2,31,360943945.0
5600,2,35,357110931.0
5600,2,39,357939057.0
5600,2,43,362851494.0
5600,2,47,355972405.0
5600,2,51,354722173.0
5600,2,55,465131867.0
5600,2,59,357361261.0
5600,2,63,355285146.0
5600,2,67,357859587.0
5600,2,71,356724556.0
5600,2,75,354409217.0
5600,2,79,356291229.0
5600,2,83,355995272.0
5600,2,87,363389637.0
5600,2,91,355792241.0
5600,2,95,354552405.0
5600,2,99,357830772.0
5600,2,103,355926198.0
5600,2,107,354587729.0
5600,2,111,355920157.0
5600,2,115,356179359.0
5600,2,119,356789817.0
3200,4,3,27739219.0
3200,4,7,27772351.0
3200,4,11,28037491.0
3200,4,15,28228719.0
3200,4,19,28523191.0
3200,4,23,28353644.0
3200,4,27,28237016.0
3200,4,31,28263547.0
3200,4,35,28359725.0
3200,4,39,28485462.0
3200,4,43,28529955.0
3200,4,47,28521879.0
3200,4,51,28525677.0
3200,4,55,28409711.0
3200,4,59,28301462.0
3200,4,63,28940079.0
3200,4,67,28625980.0
3200,4,71,28502904.0
3200,4,75,28429279.0
3200,4,79,28656720.0
3200,4,83,28535091.0
3200,4,87,28439474.0
3200,4,91,28698364.0
3200,4,95,28618149.0
3200,4,99,28541944.0
3200,4,103,28451040.0
3200,4,107,28678534.0
3200,4,111,28671397.0
3200,4,115,28822691.0
3200,4,119,28911844.0
8800,1,3,2886988221.0
8800,1,7,3309548220.0
8800,1,11,2984267772.0
8800,1,15,3012164387.0
8800,1,19,3316306337.0
8800,1,23,3299213396.0
8800,1,27,3303934097.0
8800,1,31,3124174353.0
8800,1,35,2924992090.0
8800,1,39,3308110213.0
8800,1,43,3049547359.0
8800,1,47,3313851757.0
8800,1,51,3310081128.0
8800,1,55,3309815860.0
8800,1,59,3335560735.0
8800,1,63,2962937379.0
8800,1,67,3486903995.0
8800,1,71,3302608251.0
